id,label
A-1Pictures,A-1Pictures
AIC,AIC
Arms,Arms
Bones,Bones
BrainsBase,BrainsBase
DLE,DLE
DogaKobo,DogaKobo
Gainax,Gainax
Gonzo,Gonzo
J.C.Staff,J.C.Staff
KyotoAnimation,KyotoAnimation
Madhouse,Madhouse
NipponAnimation,NipponAnimation
OLM,OLM
ProductionI.G,ProductionI.G
ProductionReed,ProductionReed
Satelight,Satelight
Seven,Seven
Shaft,Shaft
Shin-EiAnimation,Shin-EiAnimation
SilverLink.,SilverLink.
Studio4°C,Studio4°C
StudioDeen,StudioDeen
StudioGallop,StudioGallop
StudioGhibli,StudioGhibli
StudioHibari,StudioHibari
StudioPierrot,StudioPierrot
Sunrise,Sunrise
TMSEntertainment,TMSEntertainment
TatsunokoProduction,TatsunokoProduction
ToeiAnimation,ToeiAnimation
Xebec,Xebec
Zexcs,Zexcs
feel.,feel.
ufotable,ufotable
